                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0294,                 1.0292,                 1.2156,                0.43742,                0.41685,                0.42344,                0.29479,                0.96976,                 1.0365,                 1.1517,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.0114,                 1.0489,                 1.2279,                0.43344,                0.50208,                0.45797,                0.31842,                0.92177,                 1.0044,                 1.1442,             0.00040298,             0.00040298,             0.00040298
                     47,                0.98598,                 1.0214,                  1.172,                0.46149,                0.38215,                 0.3504,                0.21387,                0.96079,                 1.2292,                 1.1534,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.0103,                 1.0675,                 1.2556,                 0.4234,                0.52738,                 0.4637,                0.30789,                0.97727,                  1.096,                 1.1243,             0.00038884,             0.00038884,             0.00038884
                     49,                0.99476,                 1.0195,                  1.174,                0.66089,                0.36076,                0.45454,                0.31559,                 1.0448,                 1.0429,                 1.1489,             0.00038178,             0.00038178,             0.00038178
                     50,                0.97273,                0.96914,                  1.193,                0.55901,                 0.3784,                0.45021,                 0.3282,                 1.0002,                 1.0027,                 1.1218,             0.00037471,             0.00037471,             0.00037471
                     51,                0.94557,                0.91146,                 1.1656,                0.36918,                0.45094,                0.33366,                0.21679,                0.96362,                 1.0169,                  1.128,             0.00036764,             0.00036764,             0.00036764
                     52,                0.96848,                 1.0086,                 1.1743,                0.38989,                0.56552,                0.40888,                0.26176,                0.98412,                 1.1352,                 1.1712,             0.00036057,             0.00036057,             0.00036057
                     53,                0.98533,                 1.0211,                 1.1753,                0.35743,                0.51439,                0.40137,                0.23595,                0.96688,                0.97933,                 1.1579,              0.0003535,              0.0003535,              0.0003535
                     54,                0.99742,                0.93328,                 1.1986,                0.39727,                0.57689,                0.47022,                0.30617,                0.91641,                 1.0682,                 1.1145,             0.00034643,             0.00034643,             0.00034643
                     55,                0.93795,                0.90863,                 1.1592,                0.33907,                0.54564,                0.35652,                0.23461,                0.96396,                 1.0585,                 1.1162,             0.00033936,             0.00033936,             0.00033936
                     56,                0.93273,                0.90253,                 1.1904,                0.37381,                 0.4642,                0.40202,                0.27011,                 0.9555,                 1.0488,                 1.1172,              0.0003323,              0.0003323,              0.0003323
                     57,                0.91458,                0.89125,                 1.1375,                0.47684,                 0.5248,                0.50271,                0.31811,                0.96281,                 1.0166,                 1.1317,             0.00032523,             0.00032523,             0.00032523
                     58,                0.93579,                 0.9199,                 1.1777,                0.39324,                0.44556,                0.48748,                0.33531,                0.95012,                 1.0109,                 1.0975,             0.00031816,             0.00031816,             0.00031816
                     59,                0.92313,                0.88586,                 1.1456,                0.38913,                0.50208,                0.40724,                0.26267,                 1.0099,                 1.0355,                  1.132,             0.00031109,             0.00031109,             0.00031109
                     60,                0.93606,                0.83084,                 1.1466,                0.39153,                0.56293,                0.42743,                0.29275,                 0.9788,                 1.0582,                 1.1202,             0.00030402,             0.00030402,             0.00030402
                     61,                0.95394,                0.91817,                 1.1726,                0.37038,                0.51324,                0.39701,                0.24286,                 1.0264,                  1.055,                 1.1694,             0.00029695,             0.00029695,             0.00029695
                     62,                0.90855,                0.87645,                 1.1288,                0.54023,                0.55505,                0.42801,                0.27438,                0.91338,                 1.0454,                 1.1001,             0.00028988,             0.00028988,             0.00028988
                     63,                0.92653,                0.86753,                 1.1781,                0.53879,                0.55408,                0.39447,                0.25403,                0.94923,                 1.0378,                 1.1161,             0.00028282,             0.00028282,             0.00028282
                     64,                0.91122,                0.86584,                 1.1555,                0.41432,                0.53033,                0.42628,                0.28463,                0.91984,                 1.0647,                 1.0916,             0.00027575,             0.00027575,             0.00027575
                     65,                0.93324,                0.90295,                  1.144,                0.69452,                0.38331,                0.37849,                0.22369,                0.98666,                 1.0465,                 1.1451,             0.00026868,             0.00026868,             0.00026868
                     66,                0.91241,                0.86263,                 1.1397,                0.37434,                 0.6005,                0.44259,                0.28248,                0.91076,                 1.0197,                 1.1033,             0.00026161,             0.00026161,             0.00026161
                     67,                0.90605,                 0.8317,                 1.1625,                0.39409,                0.55297,                0.42434,                0.28612,                0.91446,                0.98555,                 1.0964,             0.00025454,             0.00025454,             0.00025454
                     68,                0.90017,                0.83721,                 1.1264,                0.43582,                0.53482,                0.51812,                0.36388,                 0.9559,                 1.0182,                 1.1241,             0.00024747,             0.00024747,             0.00024747
                     69,                0.91082,                0.86294,                 1.1149,                0.47476,                0.43498,                0.51733,                0.34121,                0.91439,                0.96918,                 1.1079,              0.0002404,              0.0002404,              0.0002404
                     70,                0.87182,                 0.8051,                 1.1069,                0.63035,                0.51112,                0.49865,                0.35509,                 0.9444,                0.99283,                 1.0988,             0.00023334,             0.00023334,             0.00023334
                     71,                0.90305,                0.83554,                 1.1089,                0.63485,                0.44559,                0.50013,                0.35907,                0.95686,                  1.022,                  1.108,             0.00022627,             0.00022627,             0.00022627
                     72,                0.87952,                0.82534,                  1.125,                0.71092,                0.37389,                0.51422,                0.36241,                0.97941,                 0.9548,                 1.1056,              0.0002192,              0.0002192,              0.0002192
                     73,                0.90575,                0.87189,                 1.1465,                0.41766,                0.52331,                0.52157,                0.37265,                0.94557,                0.94279,                 1.1027,             0.00021213,             0.00021213,             0.00021213
                     74,                0.85971,                0.81001,                 1.0907,                0.69319,                0.44148,                0.42127,                0.29438,                0.89775,                 1.0263,                 1.0906,             0.00020506,             0.00020506,             0.00020506
                     75,                0.90028,                0.82065,                 1.1368,                0.40168,                0.45484,                 0.4253,                0.29189,                0.93369,                 1.0279,                 1.0929,             0.00019799,             0.00019799,             0.00019799
                     76,                0.89164,                0.77791,                  1.123,                0.54174,                0.44134,                  0.431,                0.28594,                0.92385,                0.95733,                 1.0988,             0.00019092,             0.00019092,             0.00019092
                     77,                0.88354,                0.86762,                 1.1124,                0.53381,                 0.4755,                0.45245,                 0.3009,                0.87738,                0.96981,                  1.079,             0.00018385,             0.00018385,             0.00018385
                     78,                0.86089,                0.80266,                 1.1133,                0.42702,                0.55561,                 0.4632,                0.31108,                0.90317,                  1.024,                 1.0844,             0.00017679,             0.00017679,             0.00017679
                     79,                0.88407,                0.82995,                 1.1046,                0.60607,                0.49553,                0.52299,                0.37378,                0.96196,                0.94696,                 1.0863,             0.00016972,             0.00016972,             0.00016972
                     80,                0.88258,                0.79917,                 1.1291,                 0.6323,                0.45283,                0.52456,                0.36393,                0.96669,                0.95914,                 1.0847,             0.00016265,             0.00016265,             0.00016265
                     81,                0.88713,                0.82464,                 1.1463,                0.46009,                0.51642,                0.44944,                0.30669,                0.94656,                 1.0069,                 1.0873,             0.00015558,             0.00015558,             0.00015558
                     82,                0.85441,                0.79313,                 1.1039,                0.60935,                0.54842,                0.46622,                0.33221,                0.94271,                0.94851,                  1.074,             0.00014851,             0.00014851,             0.00014851
                     83,                0.87399,                0.86973,                 1.1064,                0.56895,                0.53038,                0.46326,                0.33409,                0.96736,                0.95295,                 1.0952,             0.00014144,             0.00014144,             0.00014144
                     84,                0.89332,                0.82285,                 1.1628,                0.37781,                0.56178,                0.42925,                0.30016,                0.95036,                 0.9803,                 1.0887,             0.00013437,             0.00013437,             0.00013437
                     85,                0.87514,                0.78827,                 1.1317,                0.56022,                0.43006,                 0.4147,                0.27822,                 0.9153,                0.96549,                 1.0799,             0.00012731,             0.00012731,             0.00012731
                     86,                0.86987,                0.76834,                 1.1286,                0.54589,                0.42883,                0.41452,                0.26958,                 0.9016,                0.99706,                 1.0944,             0.00012024,             0.00012024,             0.00012024
                     87,                0.84081,                0.75863,                  1.111,                0.74704,                 0.3564,                0.41031,                0.26036,                0.89936,                 1.0308,                 1.0982,             0.00011317,             0.00011317,             0.00011317
                     88,                0.84448,                0.78369,                 1.0974,                0.75211,                0.35484,                0.43547,                0.28918,                0.92042,                 1.0085,                 1.0991,              0.0001061,              0.0001061,              0.0001061
                     89,                 0.8442,                0.74797,                 1.0974,                0.47927,                0.56215,                0.49491,                0.36254,                0.92206,                0.94696,                  1.074,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.86514,                0.75903,                 1.1428,                0.62299,                0.50304,                0.47653,                0.33925,                0.92603,                 0.8953,                 1.0696,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.80626,                0.81693,                 1.0959,                0.56088,                0.51533,                0.43537,                0.29827,                0.95307,                0.94486,                 1.0795,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.79251,                0.78573,                 1.1249,                0.38966,                0.43324,                0.40924,                0.26642,                0.96492,                 1.0435,                 1.0869,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.77319,                0.74198,                 1.1018,                0.54334,                0.44338,                0.42659,                0.28368,                0.94857,                 1.0356,                 1.0753,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.78864,                0.75359,                 1.0951,                0.67993,                0.44544,                0.43306,                0.27638,                0.94046,                 1.0103,                 1.0712,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.78443,                 0.7587,                 1.0776,                0.54168,                0.54625,                0.46944,                0.30948,                0.91449,                  0.994,                 1.0643,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.74279,                0.73499,                 1.0786,                0.54802,                 0.5573,                0.45806,                 0.2966,                0.91607,                 1.0196,                  1.067,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.74709,                0.73401,                 1.0448,                0.66801,                0.55082,                 0.4574,                 0.2908,                0.90995,                  1.021,                 1.0644,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.77132,                0.71521,                 1.0583,                0.55068,                0.54356,                0.45848,                0.29818,                0.91287,                 1.0035,                 1.0663,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.73629,                0.73874,                 1.0648,                0.57045,                0.56908,                0.46588,                0.29717,                0.93664,                 1.0159,                 1.0754,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.75868,                0.71301,                 1.0897,                0.44315,                0.58418,                 0.4592,                0.29429,                 0.9367,                 1.0269,                 1.0774,             2.1277e-05,             2.1277e-05,             2.1277e-05
